evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn,dydx
2022-08-23 00:00,314491902.64701134,324496201.5038298,178234217.23543358,530735498.6633119,42540849.33668678,278915974.73687774,792057277.0655634,24757977.148203928,39488855.088209026,4394220.214337668,647340.3324793113,1620862.3833843323
2022-08-24 00:00,316728465.76830184,337640854.84122276,173981966.7195379,524046263.9636976,42461768.76679962,278915974.73687774,779596918.3686836,24074768.426102556,39490282.957604155,4397980.557826284,647263.0817628626,1620862.3833843323
2022-08-25 00:00,324609220.730018,337223764.72281826,174059079.85909387,523905908.5114743,42190805.188365854,278915974.73687774,789495305.1556693,26133512.294852395,39659807.15189207,4399844.761668214,646137.4720932513,1620862.3833843323
2022-08-26 00:00,333042500.8430611,337868144.34719723,166625767.06537488,490787546.82589585,41640530.598830245,278915974.73687774,792050052.7348486,29561769.529014066,35643030.95771358,4222919.690860038,646137.4720932513,1620839.6318451178
2022-08-27 00:00,338449705.28802377,335187615.5892298,167034460.60912636,477473940.0140105,41210605.71020288,278915974.73687774,786296472.9975696,29788345.74004279,35501539.80455539,4225510.256603741,646137.4720932513,1620839.6318451178
2022-08-28 00:00,312012537.34800535,334717321.94287664,152834817.01417243,512329704.326964,41122634.84220146,278915974.73687774,787426394.5999441,27526608.23041377,35359621.03977201,4174318.7535438305,645712.3164716385,1620839.6318451178
2022-08-29 00:00,335821053.899556,333647611.80887794,152779415.99039203,443899046.3194368,41055543.68011723,278915974.73687774,781079226.3426772,55707997.49609007,35638660.064897105,4264494.3814031,645712.3164716385,1620839.6318451178
2022-08-30 00:00,335523850.0576823,333969198.3107294,146699122.88205314,443216799.14860517,40611346.827629,278915974.73687774,792556558.205861,84267868.53593257,35224407.535103105,4208183.94061888,645712.3164716385,1620839.6318451178
2022-08-31 00:00,348711678.0467317,333180262.36931163,192844499.17366853,409281790.94683826,40611346.827629,278915974.73687774,802884405.5200571,86840940.6655076,35239366.025304936,4254116.1905942345,645582.975622838,1620839.6318451178
2022-09-01 00:00,343684938.6694759,332849188.9078672,193010731.21247923,409670734.8770925,40611346.827629,278915974.73687774,836990243.9913737,85574644.44884631,35195503.1069239,4266256.119133042,645582.975622838,1620839.6318451178
2022-09-02 00:00,339873029.5347025,332386854.5066913,196837785.31808048,409417838.3835648,40611346.827629,278915974.73687774,835923220.1316031,86438799.7664562,35125330.97828949,4271274.22123889,645582.975622838,1620839.6318451178
2022-09-03 00:00,348700148.16888714,332264226.231255,198253085.45475617,410602436.4838925,40481820.76886778,278915974.73687774,848927650.418337,86408325.58500002,35090808.6200639,4246260.586344649,645582.975622838,1620817.1548299806
2022-09-04 00:00,334512092.330453,328990471.4290347,197339345.9711538,409429805.16125935,40412616.977087654,278915974.73687774,795938552.2318046,86585922.75283958,35132451.04302474,4272912.881602159,645582.975622838,1620790.3078006112
2022-09-05 00:00,334808044.0173744,318432524.95324945,197366189.51172388,409663013.22948426,40218994.074482754,278915974.73687774,775543168.3631272,34022009.7219588,35200745.299365,4293491.879731785,645582.975622838,1620790.3078006112
2022-09-06 00:00,315864024.65437317,317346021.3240487,197322972.34868637,410554363.28661233,40002119.06939371,278915974.73687774,774205985.5297576,37274135.65892225,34991890.44646442,4205008.628211768,645582.975622838,1620790.3078006112
2022-09-07 00:00,312137903.5425209,318040395.6637196,189323738.96507463,420520798.12182695,40002119.06939371,278915974.73687774,774586622.5096958,36935728.31957006,35153243.36685696,4290395.153930748,645582.975622838,1620790.3078006112
2022-09-08 00:00,307832637.1230406,350758012.4382359,188793763.77923915,384348666.11483973,39961788.98149478,278915974.73687774,774822319.9314604,33638080.47937579,35097283.56968838,4267420.205559118,645582.975622838,1620790.3078006112
2022-09-09 00:00,324872175.47292876,351308226.077116,178380772.41753143,383267639.4032607,39961788.98149478,278915974.73687774,774466002.4481971,35339953.82200441,32680740.661300167,4362927.2355515305,645582.975622838,1620790.3078006112
2022-09-10 00:00,334192911.3492215,351109204.1750304,180209513.81006402,403467622.18381864,39961788.98149478,278915974.73687774,774905325.8340719,35016195.84973739,32763036.651810154,4396834.396408971,645582.975622838,1620772.867514087
2022-09-11 00:00,332150407.60440534,350321315.4724314,179740582.08085915,400958092.9144943,39882779.72787133,278915974.73687774,770005593.596197,35017521.21225381,32716533.081791323,4381177.374107358,645054.0743987113,1620772.867514087
