evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2022-10-06 00:00,350801395.68415,3289196474.313053,763946299.195038,640823704.471946,328609471.890457,190499416.993596,6135925473.010427,29905627.32755,24588412.52418,548736.111026,
2022-10-07 00:00,330278743.38145,3286973562.779005,747475420.174867,635990757.663316,328609471.890457,190242962.061418,6126782000.408182,28321872.015399,25241766.436275,543727.530463,
2022-10-08 00:00,325658600.760914,3286605305.538287,756750434.354931,634908380.62904,328122192.997601,190126143.463633,6114257177.515034,26443911.328131,25633368.400534,541933.953439,
2022-10-09 00:00,331146293.03284,3288825910.234136,752370151.027519,634001450.78384,328122192.997601,190053959.100049,6111809557.198351,27614519.34983,29744185.562896,541933.953439,
2022-10-10 00:00,316529313.016172,3287726526.880989,746159323.897469,629596726.866898,328122192.997601,188137835.747768,6092467951.862098,26112469.925773,29443018.732755,550595.74055,
2022-10-11 00:00,274086991.427671,3305296137.372599,730787802.187622,625017203.659445,326122192.997601,188202595.371331,6086027347.857517,24621588.893444,27490258.004587,542757.480426,
2022-10-12 00:00,267189299.841684,3216228666.21984,726296999.550751,625764547.799048,326122192.997601,192735746.35247,6065408574.172111,22790131.109968,27241015.550202,541660.858295,
2022-10-13 00:00,293774556.049643,3107009364.126718,553805527.894677,622055864.392625,326122192.997601,193403314.804907,5888956464.409866,21888671.890164,20383030.574848,535963.746799,
2022-10-14 00:00,294874454.661168,3110137445.394475,545497678.426963,621122400.241892,326122192.997601,194196998.626119,5906264986.156534,24160403.647142,27537086.084301,536021.605367,
2022-10-15 00:00,299373023.472416,3105727203.559946,546776270.166403,623773574.767153,326122192.997601,190649822.828056,5903280002.438888,24267275.544043,27339594.318982,536156.609076,
2022-10-16 00:00,307047351.516571,3104888578.190678,545039016.246461,618180813.703287,326122192.997601,183889815.816976,5925429555.530728,24920312.368229,27658403.066134,539189.521097,
2022-10-17 00:00,283379073.596203,3095013173.177675,476814830.95328,624456444.532462,326122192.997601,182305611.73698,5921113471.881344,32123014.230875,27719096.839632,542279.276399,
2022-10-18 00:00,292863453.623013,2990474033.710466,473582270.930258,625680940.437214,328126069.749495,185166219.103334,5908806849.660829,33967177.511671,27527230.178331,540016.927355,
2022-10-19 00:00,290240950.02523,2883054246.278478,463595369.210829,637786917.643435,324126069.749495,184590207.107764,5868705007.805407,33092956.207221,27245887.716939,535769.71352,
2022-10-20 00:00,283202716.99335,2886532460.096798,462093435.667585,634636197.068353,338968700.749495,185087911.619402,5867787786.933313,32517425.259873,27291900.148162,533276.914771,
2022-10-21 00:00,274935275.934535,2844959233.751912,482927635.408622,634040328.954165,325468699.749495,183709046.424505,5881963641.700832,31212883.828524,27505955.119346,537811.521932,
2022-10-22 00:00,285986908.718769,2840781967.457532,472387786.366358,626603939.8114,325468699.749495,187772208.078448,5888648188.678283,32075543.341602,27529367.468242,535505.990416,
2022-10-23 00:00,307911811.814061,2841633143.944055,473998926.358689,617594383.614882,325468699.749495,189868924.929805,5925863156.1028,33275579.984642,28052436.674157,539689.035702,
2022-10-24 00:00,295881624.18671,2838744260.509994,492703075.645565,614252435.16811,325468699.749495,190158764.568275,5899259610.599225,32157601.572336,27837479.016272,538157.71227,
