evt_date,compound,other,uniswap,aave,bridge,curve,bancor,treasury,balancer,sushiswap,dydx,yearn,total
2022-12-30 00:00,256862012.22430775,581588067.6493192,1720701424.2777507,82401766.96670507,382162537.5681396,175011538.3014807,4371857.028212633,26932339.936576005,30643215.61808056,49944621.73706667,1613277.5892501443,614807.2974951605,3312847466.194384
2022-12-31 00:00,249325817.83560035,581680351.8483179,1717861097.7115529,78632859.02904804,380573465.79410416,172142175.99085206,4484217.169730551,26917339.936576005,29188548.559465103,49943537.1555421,1613277.5892501443,614807.2974951605,3292977495.9175344
2023-01-01 00:00,245507704.0094149,581894159.7422551,1716539742.4026194,83535667.04458557,380318727.9774588,168069692.14054695,4594801.039382268,26917339.936576005,30117806.442235895,49961116.09546221,1613277.5892501443,614807.2974951605,3289684841.7172823
2023-01-02 00:00,244449525.3569162,581349525.4646828,1716894980.3237357,83237945.66512327,379531227.0137472,178657456.44586208,4536094.255793132,26917339.936576005,30666200.348334417,49972791.58923744,1613277.5892501443,614807.2974951605,3298441171.2867537
2023-01-03 00:00,244317484.80775753,581181028.878452,1718285230.4030554,83765418.86634351,379733668.3686893,185056531.8007922,4484343.394296514,26926982.936576005,30607843.64456687,49979057.229225904,1613277.5892501443,612702.4418280218,3306563570.360833
2023-01-04 00:00,247803896.5731894,581545846.3067272,1714367494.7914855,86517231.45019798,379319106.10380226,185076799.64478704,4488391.977531642,26920016.936576005,31126121.433777753,50039064.8537515,1613277.5892501443,612702.4418280218,3309429950.102905
2023-01-05 00:00,245391549.84077463,582271667.8053489,1716716609.6125472,86603126.81204693,378962340.84358513,183965884.56753662,4483992.981113784,26907529.936576005,29381325.096937377,50031548.22649267,1613277.5892501443,612702.4418280218,3306941555.7540374
2023-01-06 00:00,244759197.77461818,582466439.7413031,1715742992.2648048,83265067.0724729,378466419.8944563,176247324.1212821,4457846.724740268,26907529.936576005,32590461.726426467,50055370.35104005,1613277.5892501443,611306.5253770165,3297183233.7223473
2023-01-07 00:00,244817728.75372893,582437493.6656064,1715117296.3882797,83205494.29389898,378161753.3485982,187492923.24747247,4459613.47888283,26902829.936576005,34450673.26709443,50058334.122971505,1613277.5892501443,611306.5253770165,3309328724.6177363
2023-01-08 00:00,287680308.9208601,582497018.2211248,1716770290.1176999,83288560.56957152,378093471.3873339,206271755.03260192,4477647.092373184,27031902.936576005,35491859.592988595,50091599.723582335,1612988.0597981107,611306.5253770165,3373918708.1798873
2023-01-09 00:00,286919081.04318416,582216149.0667098,1718179624.0744593,89728423.89418153,378070469.30798,208047280.27476257,4530682.36654148,26760065.485495977,36758188.25289357,50153377.249677226,1463240.9361330494,611306.5253770165,3383437888.4773955
2023-01-10 00:00,286651804.225606,581792171.0549479,1720126377.1284368,99748115.27886662,378823725.6637157,208337862.008803,4564552.172197879,26760065.485495977,37749498.91557482,50178673.717323564,1458190.657744043,611306.5253770165,3396802342.8340893
2023-01-11 00:00,284265008.3649804,581768969.8398716,1723973601.5586329,92327896.36801253,379027460.87459815,218357421.59832096,4550253.85857276,26595088.797733113,37973422.90614172,50295910.38770144,1455762.561338912,611306.5253770165,3401202103.6412816
2023-01-12 00:00,284313579.46864974,581656812.6996933,1724198525.876438,91744492.18728416,379025317.8616388,214994696.7858078,4579191.16671802,26648944.797733113,38274950.695908524,50373208.070565656,1455762.561338912,611306.5253770165,3397876788.697153
2023-01-13 00:00,287827184.6848122,580219007.1455424,1704033707.7834628,97529207.74063519,379525518.9573562,221385874.92956728,4639656.319667101,26851776.797733113,39275597.898286834,50422519.1676092,1449545.3363103902,610749.9608536033,3393770346.721836
2023-01-14 00:00,288170578.9463876,582239081.2055359,1696822477.0299842,95104927.95965317,381394013.4812859,225604626.290642,4694743.263962201,27376472.26722984,39803307.06956393,50562096.0772899,1449545.3363103902,610749.9608536033,3393832618.8886986
2023-01-15 00:00,287702414.63781226,584076291.909969,1682430005.7014806,95570032.43349546,381397242.34392774,230028254.53300667,4750510.412705838,27376472.26722984,39614336.36079133,50566874.494098805,1449405.8145381801,610749.9608536033,3385572590.8699093
2023-01-16 00:00,292371036.320816,583949375.7181597,1685044859.559457,90303612.06105913,379263160.88829565,221018171.5438943,4721461.100890302,27365756.149416666,36984983.74665768,50606234.08064008,1449405.8145381801,610749.9608536033,3373688806.9446783
2023-01-17 00:00,292730937.5738417,584558914.8299179,1674806733.4412928,87293759.33388542,383086253.2586436,221859198.31136096,4726527.249437198,27356068.07286883,37906649.264565855,50607075.82995108,1449389.7852150977,609685.9522867015,3366991192.903267
2023-01-18 00:00,276388835.3124343,584548345.1427712,1677901967.7842927,86831052.58579722,385299837.97462064,213034739.00709066,4620727.203753713,27759449.423536796,34395024.80001109,50603596.49665131,1449389.7852150977,609685.9522867015,3343442651.4684615
2023-01-19 00:00,277088700.22234106,583891833.793663,1676650623.1517289,86548437.30703638,385746007.78908575,211485302.33117408,4613822.88247169,27952594.639162138,36095882.06799271,50655764.43915514,1449389.7852150977,609685.9522867015,3342788044.361313
2023-01-20 00:00,277465655.86235577,583884987.684863,1680491574.4939823,86247302.12094083,386088863.26886696,213189102.23969954,4704641.648732521,27365447.0347852,37661302.513777114,50782023.153525986,1449389.7852150977,609685.9522867015,3349939975.7590313
2023-01-21 00:00,277621981.70546335,583231918.5189418,1673423891.6266105,83744839.91974771,390316243.27542293,225371803.9649382,4737380.067334631,27889706.67109351,37518064.84732893,50757158.34441504,1448846.299768105,609685.9522867015,3356671521.1933513
2023-01-22 00:00,278252080.40168077,582920442.6022011,1671613563.4669883,84605282.8866192,393601555.35270697,227762445.24307886,4752053.950523734,27833712.97394781,39006774.561365105,50765528.44986959,1448200.3385346746,609516.303442573,3363171156.5309587
2023-01-23 00:00,278933852.24656475,582934000.6165406,1662789143.212699,83578468.50595267,395010074.6446349,229657882.06039032,4755241.5646183565,27833712.97394781,38460294.80457408,50773190.93102292,1448200.3385346746,609516.303442573,3356783578.2029223
2023-01-24 00:00,278282570.7365135,582632115.3257318,1662108250.8576014,83389076.32138383,398642571.17836183,230629014.40217343,4729659.076352052,27833717.97394781,37555194.00683701,50693213.25427258,1445689.1880735077,609516.303442573,3358550588.624691
2023-01-25 00:00,290060929.25590795,582109916.2170206,1667963810.5069823,87679364.50406525,400193882.57269704,222545630.0596465,4751515.798877558,27618026.087689757,37254327.73043008,50761961.129543714,1445230.2674170283,609516.303442573,3372994110.4337206
