evt_date,maker,aave,dydx,compound,uniswap,curve,treasury,other,sushiswap,balancer,bridge,bancor,total
2022-06-10 00:00,3073483141.210369,1121641814.815665,1070504621.446518,738683278.036253,5132623030.540907,73556334.93478,300425976.69695,222257049.554167,273032795.665927,41867044.690775,4154712278.434743,5620942.342927,16208408308.369982
2022-06-11 00:00,3084290585.191524,1177916529.84213,1067640098.558675,737762616.141571,5093497250.249786,71613372.264352,300150931.34897,219390327.43707,270744487.542216,39059805.748785,4141560363.192994,5405776.535232,16209032144.053305
2022-06-12 00:00,3092049774.82042,1359731143.449743,1070415598.8881,747921975.116884,5103067654.484816,69635117.108781,300150931.34897,215443329.557257,267770226.325611,37043379.856002,4115649137.651796,5047466.007164,16383925734.615543
2022-06-13 00:00,3199822038.676511,609451513.860152,1063148749.015194,674795014.815133,5178539022.660006,58230222.988001,300150931.34897,184546103.478285,261404407.488223,36009983.833814,4078578949.226001,3471663.437583,15648148600.827873
2022-06-14 00:00,3268181328.575679,734339936.769547,865692293.945202,631326003.822624,5251724153.490985,59572176.287639,300120931.34897,158756882.166259,262923428.59529,30674806.343708,4067409248.505352,3055594.908696,15633776784.75995
2022-06-15 00:00,3193357631.320652,749004026.064805,841985385.156521,576062813.56251,5322459287.888707,59437750.673288,300120931.34897,188574085.025108,248563637.600291,30387490.106115,4028015473.392753,2869991.504455,15540838503.644175
2022-06-16 00:00,3195328984.394263,770132364.07863,803265430.973303,580539850.165542,5323996738.077509,59119531.775752,309418878.472331,182008602.441841,246392118.066643,28564365.899122,4014051968.774907,2546449.292235,15515365282.412079
2022-06-17 00:00,3341277361.777896,779778233.214151,770574475.290657,677701030.723797,5338302355.388312,60501491.005273,309355998.547231,182048456.22654,246545041.851754,30079233.200281,4010501961.983139,2417316.148136,15749082955.357166
2022-06-18 00:00,3377385544.772076,746258945.800472,772512631.056021,720551953.596862,5344559882.203242,57348595.665803,305355998.547231,160862407.143249,245070004.881276,26648640.890978,4009050557.859431,1776178.911154,15767381341.327795
2022-06-19 00:00,3375254422.975674,747234183.660667,760958506.847998,718870899.943525,5412138436.702268,57971243.175589,305355998.547231,170955054.26012,246539574.756076,25062179.041981,3991461147.608501,1815354.203793,15813617001.723423
2022-06-20 00:00,3349844890.520642,747080894.56045,761187725.82378,710496060.59967,5435659070.248515,63336621.872363,326887065.547231,180137600.807097,246496220.132202,25738033.12314,3968326632.208171,1620159.633793,15816810975.077053
