Number,Title,Author,Status
3322,Account gas storage opcodes,William Morriss,Stagnant
3326,Wallet Switch Ethereum Chain RPC Method (`wallet_switchEthereumChain`),Erik Marks,Stagnant
3336,Paged memory allocation for the EVM,Nick Johnson,Stagnant
3337,Frame pointer support for memory load and store operations,Nick Johnson,Stagnant
3368,"Increase block rewards to 3 ETH, with 2 Year Decay to 1 ETH Scheduled",Michael D. Carter,Stagnant
3372,5 FNV primes for ethash,"mineruniter969, mineruniter969",Stagnant
3386,ERC-721 and ERC-1155 to ERC-20 Wrapper,Calvin Koder,Stagnant
3403,Partial removal of refunds,"Vitalik Buterin, Martin Swende",Stagnant
3416,Median Gas Premium,"HexZorro, Mojtaba Tefagh",Stagnant
3436,Expanded Clique Block Choice Rule,Danno Ferrin,Stagnant
3440,ERC-721 Editions Standard,Nathan Ginnever,Stagnant
3450,Standardized Shamir Secret Sharing Scheme for BIP-39 Mnemonics,Daniel Streit,Stagnant
3508,Transaction Data Opcodes,Alex Papageorgiou,Stagnant
3520,Transaction Destination Opcode,Alex Papageorgiou,Stagnant
3521,Reduce access list cost,Matt Garnett,Stagnant
3534,Restricted Chain Context Type Transactions,Isaac Ardis,Stagnant
3569,Sealed NFT Metadata Standard,Sean Papanikolas,Stagnant
3584,Block Access List,"Gajinder Singh, Piper Merriam",Stagnant
3589,Assemble assets into NFTs,"Zhenyu Sun, Xinqi Yang",Stagnant
3643,T-REX - Token for Regulated EXchanges,"Joachim Lebrun, Tony Malghem, Kevin Thizy, Luc Falempin, Adam Boudjemaa",Stagnant
3651,Warm COINBASE,William Morriss,Stagnant
3690,EOF - JUMPDEST Table,"Alex Beregszaszi, Paweł Bylica, Andrei Maiboroda",Stagnant
3709,Remove Support for Type 1 Transactions,Gregory Markou,Stagnant
3722,Poster,Auryn Macmillan,Stagnant
3754,A Vanilla Non-Fungible Token Standard,Simon Tian,Stagnant
3756,Gas Limit Cap,lightclient,Stagnant
3772,Compressed Integers,Soham Zemse,Stagnant
3788,Strict enforcement of chainId,Gregory Markou,Stagnant
3978,Gas refunds on reverts,"Anton Bukov, Mikhail Melnik",Stagnant
4396,Time-Aware Base Fee Calculation,Ansgar Dietrichs,Stagnant
4430,Described Transactions,"Richard Moore, Nick Johnson",Stagnant
4488,Transaction calldata gas cost reduction with total calldata limit,"Vitalik Buterin, Ansgar Dietrichs",Stagnant
4520,Mult-byte opcodes prefixed by EB and EC.,"Brayton Goodall, Mihir Faujdar",Stagnant
4521,721/20-compatible transfer,Ross Campbell,Stagnant
4524,Safer ERC-20,William Schwab,Stagnant
4546,Wrapped Deposits,Justice Hudson,Stagnant
4573,Procedures for the EVM,"Greg Colvin, Greg Colvin",Stagnant
4736,Consensus Layer Withdrawal Protection,"Benjamin Chodroff, Jim McDonald",Stagnant
4747,Simplify EIP-161,Peter Davies,Stagnant
4760,SELFDESTRUCT bomb,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Stagnant
4762,Statelessness gas cost changes,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Stagnant
4799,Non-Fungible Token Ownership Designation Standard,"David Buckman, Isaac Buckman",Stagnant
4803,Limit transaction gas to a maximum of 2^63-1,Alex Beregszaszi,Stagnant
4863,Beacon chain push withdrawals,"Alex Stokes, Danny Ryan",Stagnant
4931,Generic Token Upgrade Standard,"John Peterson, Roberto Bayardo, David Núñez",Stagnant
4944,Contract with Exactly One Non-fungible Token,"Víctor Muñoz, Josep Lluis de la Rosa, Andres El-Fakdi",Stagnant
5022,Increase price of SSTORE from zero to non-zero to 40k gas,Green,Stagnant
5065,Instruction for transferring ether,Mudit Gupta,Stagnant
663,Unlimited SWAP and DUP instructions,Alex Beregszaszi,Review
831,URI Format for Ethereum,ligi,Review
1328,WalletConnect URI Format,"ligi, Pedro Gomes",Review
2135,"Consumable Interface (Tickets, etc)",Zainan Victor Zhou,Review
2294,Explicit bound to Chain ID size,"Zainan Victor Zhou, Alex Beregszaszi",Review
2315,Simple Subroutines for the EVM,"Greg Colvin, Martin Holst Swende, Brooklyn Zelenka, John Max Skaller",Review
2400,Transaction Receipt URI,"Ricardo Guilherme Schmidt, Eric Dvorsak",Review
2771,Secure Protocol for Native Meta Transactions,"Ronan Sandford, Liraz Siri, Dror Tirosh, Yoav Weiss, Alex Forshtat, Hadrien Croubois, Sachin Tomar, Patrick McCorry, Nicolas Venturo, Fabian Vogelsteller, Pandapip1",Review
3540,EOF - EVM Object Format v1,"Alex Beregszaszi, Paweł Bylica, Andrei Maiboroda",Review
3561,Trust Minimized Upgradeability Proxy,Sam Porter,Review
3670,EOF - Code Validation,"Alex Beregszaszi, Andrei Maiboroda, Paweł Bylica",Review
3855,PUSH0 instruction,"Alex Beregszaszi, Hugo De la cruz, Paweł Bylica",Review
3860,Limit and meter initcode,"Martin Holst Swende, Paweł Bylica, Alex Beregszaszi, Andrei Maiboroda",Review
4200,EOF - Static relative jumps,"Alex Beregszaszi, Andrei Maiboroda, Paweł Bylica",Review
4361,Sign-In with Ethereum,"Wayne Chang, Gregory Rocco, Brantly Millegan, Nick Johnson",Review
4527,QR Code transmission protocol for wallets,"Aaron Chen, Sora Lee, ligi, Dan Miller, AndreasGassmann, xardass, Lixin Liu",Review
4750,EOF - Functions,"Andrei Maiboroda, Alex Beregszaszi, Paweł Bylica",Review
4758,Deactivate SELFDESTRUCT,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Review
4804,Web3 URL to EVM Call Message Translation,"Qi Zhou, Chao Pi, Sam Wilson",Review
4834,Hierarchical Domains,Pandapip1,Review
4895,Beacon chain push withdrawals as operations,"Alex Stokes, Danny Ryan",Review
4910,Royalty Bearing NFTs,Andreas Freund,Review
4955,Vendor Metadata Extension for NFTs,Ignacio Mazzara,Review
4973,Account-bound Tokens,"Tim Daubenschütz, Raphael Roullet",Review
4987,Held token interface,Devin Conley,Review
5005,Zodiac Modular Accounts,"Auryn Macmillan, Kei Kreutler",Review
5008,EIP-721 Nonce Extension,"Anders, Lance, Shrug",Review
5164,Cross-Chain Execution,"Brendan Asselstine, Pierrick Turelier",Review
5202,Blueprint contract format,"Charles Cooper, Edward Amor",Review
5267,Retrieval of EIP-712 domain,Francisco Giordano,Review
5450,EOF - Stack Validation,"Andrei Maiboroda, Paweł Bylica, Alex Beregszaszi",Review
5516,Soulbound Multi-owner Tokens,"Lucas Martín Grasso Ramos, Matias Arazi",Review
5553,Representing IP and its Royalty Structure,Roy Osherove,Review
5606,Multiverse NFTs,"Gaurang Torvekar, Khemraj Adhawade, Nikhil Asrani",Review
5615,EIP-1155 Supply Extension,Pandapip1,Review
5643,Subscription NFTs,cygaar,Review
5773,Context-Dependent Multi-Asset Tokens,"Bruno Škvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Review
1153,Transient storage opcodes,"Alexey Akhunov, Moody Salem",Last Call
1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo,Last Call
2266,Atomic Swap-based American Call Option Contract Standard,"Runchao Han, Haoyu Lin, Jiangshan Yu",Last Call
3076,Slashing Protection Interchange Format,"Michael Sproul, Sacha Saint-Leger, Danny Ryan",Last Call
5006,"Rental NFT, NFT User Extension","Lance, Anders, Shrug",Last Call
5007,"Time NFT, EIP-721 Time Extension","Anders, Lance, Shrug",Last Call
5023,Shareable Non-Fungible Token,"Jarno Marttila, Martin Moravek",Last Call
5216,EIP-1155 Approval By Amount Extension,"Iván Mañús, Juan Carlos Cantó",Last Call
5496,Multi-privilege Management NFT Extension,Jeremy Z,Last Call
5646,Token State Fingerprint,Naim Ashhab,Last Call
5749,The 'window.evmproviders' object,"Kosala Hemachandra, Brett Kolodny",Last Call
2,Homestead Hard-fork Changes,Vitalik Buterin,Final
4,EIP Classification,Joseph Chow,Final
5,Gas Usage for `RETURN` and `CALL*`,Christian Reitwiessner,Final
6,Renaming SUICIDE opcode,Hudson Jameson,Final
7,DELEGATECALL,Vitalik Buterin,Final
8,devp2p Forward Compatibility Requirements for Homestead,Felix Lange,Final
20,Token Standard,"Fabian Vogelsteller, Vitalik Buterin",Final
55,Mixed-case checksum address encoding,"Vitalik Buterin, Alex Van de Sande",Final
100,Change difficulty adjustment to target mean block time including uncles,Vitalik Buterin,Final
137,Ethereum Domain Name Service - Specification,Nick Johnson,Final
140,REVERT instruction,"Alex Beregszaszi, Nikolai Mushegian",Final
141,Designated invalid EVM instruction,Alex Beregszaszi,Final
145,Bitwise shifting instructions in EVM,"Alex Beregszaszi, Paweł Bylica",Final
150,Gas cost changes for IO-heavy operations,Vitalik Buterin,Final
152,Add BLAKE2 compression function `F` precompile,"Tjaden Hess, Matt Luongo, Piotr Dyraga, James Hancock",Final
