Number,Title,Author,Status
2615,Non-Fungible Token with mortgage and rental functions,Kohshi Shiba,Stagnant
5749,The 'window.evmproviders' object,"Kosala Hemachandra, Brett Kolodny",Last Call
2477,Token Metadata Integrity,"Kristijan Sedlak, William Entriken, Witek Radomski",Stagnant
5006,"Rental NFT, NFT User Extension","Lance, Anders, Shrug",Last Call
1973,Scalable Rewards,"Lee Raj, Qin Jian",Stagnant
3756,Gas Limit Cap,lightclient,Stagnant
801,Canary Standard,ligi,Stagnant
831,URI Format for Ethereum,ligi,Review
1328,WalletConnect URI Format,"ligi, Pedro Gomes",Review
5505,EIP-1155 asset backed NFT extension,liszechung,Draft
2256,wallet_getOwnedAssets JSON-RPC Method,Loredana Cirstea,Stagnant
1900,dType - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant
1921,dType Functions Extension,"Loredana Cirstea, Christian Tzurcanu",Stagnant
2157,dType Storage Extension - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant
2193,dType Alias Extension - Decentralized Type System,"Loredana Cirstea, Christian Tzurcanu",Stagnant
5094,URL Format for Ethereum Network Switching,"Luc van Kampen, Jakob Helgesson, Joshua Hendrix",Draft
1753,Smart Contract Interface for Licences,"Lucas Cullen, Kai Yeung, Anna Crowley, Caroline Marshall, Katrina Donaghy",Stagnant
5516,Soulbound Multi-owner Tokens,"Lucas Martín Grasso Ramos, Matias Arazi",Review
3770,Chain-specific addresses,"Lukas Schor, Richard Meissner, Pedro Gomes, ligi",Draft
5793,eth/68 - Add tx type to tx announcement,Marius van der Wijden,Draft
4938,eth/67 - Removal of GetNodeData,"Marius van der Wijden, Felix Lange, Gary Rong",Draft
1081,Standard Bounties,"Mark Beylin, Kevin Owocki, Ricardo Guilherme Schmidt",Stagnant
4881,Deposit Contract Snapshot Interface,Mark Mackey,Draft
3,Addition of CALLDEPTH opcode,Martin Holst Swende,Withdrawn
1681,Temporal Replay Protection,Martin Holst Swende,Stagnant
2583,Penalty for account trie misses,Martin Holst Swende,Stagnant
1884,Repricing for trie-size-dependent opcodes,Martin Holst Swende,Final
3155,EVM trace specification,"Martin Holst Swende, Marius van der Wijden",Stagnant
191,Signed Data Standard,"Martin Holst Swende, Nick Johnson",Final
2677,Limit size of `initcode`,"Martin Holst Swende, Paweł Bylica, Alex Beregszaszi",Stagnant
3860,Limit and meter initcode,"Martin Holst Swende, Paweł Bylica, Alex Beregszaszi, Andrei Maiboroda",Review
2327,BEGINDATA opcode,Martin Lundfall,Stagnant
2612,Permit Extension for EIP-20 Signed Approvals,Martin Lundfall,Final
3005,Batched meta transactions,Matt,Stagnant
2733,Transaction Package,Matt Garnett,Withdrawn
3521,Reduce access list cost,Matt Garnett,Stagnant
2780,Reduce intrinsic transaction gas,"Matt Garnett, Uri Klarman",Withdrawn
998,ERC-998 Composable Non-Fungible Token Standard,"Matt Lockyer, Nick Mudge, Jordan Schalm",Stagnant
1482,Define a maximum block timestamp drift,Maurelian,Stagnant
162,Initial ENS Hash Registrar,"Maurelian, Nick Johnson, Alex Van de Sande",Final
1462,Base Security Token,"Maxim Kupriianov, Julian Svirsky",Stagnant
1240,Remove Difficulty Bomb,Micah Zoltu,Withdrawn
2711,"Sponsored, expiring and batch transactions.",Micah Zoltu,Withdrawn
2972,Wrapped Legacy Transactions,Micah Zoltu,Withdrawn
2803,Rich Transactions,Micah Zoltu,Stagnant
234,Add `blockHash` to JSON-RPC filter options.,Micah Zoltu,Final
2718,Typed Transaction Envelope,Micah Zoltu,Final
2976,Typed Transactions over Gossip,Micah Zoltu,Final
5114,Soulbound Badge,Micah Zoltu,Draft
3338,Limit account nonce to 2^52,"Micah Zoltu, Alex Beregszaszi",Withdrawn
2786,Ethereum Provider Connect/Disconnect Events,"Micah Zoltu, Erik Marks",Withdrawn
2696,JavaScript `request` method RPC transport,"Micah Zoltu, Erik Marks",Final
2700,JavaScript Provider Event Emitter,"Micah Zoltu, Erik Marks",Final
1922,zk-SNARK Verifier Standard,"Michael Connor, Chaitanya Konda, Duncan Westland",Stagnant
1923,zk-SNARK Verifier Registry Standard,"Michael Connor, Chaitanya Konda, Duncan Westland",Stagnant
3368,"Increase block rewards to 3 ETH, with 2 Year Decay to 1 ETH Scheduled",Michael D. Carter,Stagnant
