author_id,mod_name,Full_Name,GitHub_Username,URL,GitHub_Followers,gh_matched_names,EIP_Num1,EIP_Num2,Status,tw_matched_names,extra_in_twitter,extra_in_gh,co_matched_names,extra_in_co
157,sergiodemianlerner,Sergio Demian Lerner,SergioDemianLerner,https://github.com/SergioDemianLerner,85,Sergio Demian Lerner,,,Correct,Sergio Demian Lerner,"","",Sergio Demian Lerner,""
158,matt,Matt,defifuture,https://github.com/defifuture,2,Matt,,,Correct,Matt,"","","",""
159,peterjihoonkim,Peter Jihoon Kim,petejkim,https://github.com/petejkim,518,Peter Jihoon Kim,,,Correct,Peter Jihoon Kim,"","",Peter Jihoon Kim,""
160,petergrassberger,Peter Grassberger,PeterTheOne,https://github.com/PeterTheOne,143,Peter Grassberger,,,Correct,Peter Grassberger,"","",Peter Grassberger,""
161,youssefelhousni,Youssef El Housni,yelhousni,https://github.com/yelhousni,90,Youssef El Housni,,,Correct,Youssef El Housni,"","",Youssef El Housni,""
162,hermanjunge,Herman Junge,hermanjunge,https://github.com/hermanjunge,1,Herman Junge,,,Correct,Herman Junge,"","",Herman Junge,""
163,abdelhamidbakhta,Abdelhamid Bakhta,abdelhamidbakhta,https://github.com/abdelhamidbakhta,324,Abdelhamid Bakhta,,,Correct,Abdelhamid Bakhta,"","",Abdelhamid Bakhta,""
164,christophergorman,Christopher Gorman,chgormanMH,https://github.com/chgormanMH,n/a,Dr. Christopher Gorman,3068,,Fixed,Dr. Christopher Gorman,"","","",""
165,samwilson,Sam Wilson,SamWilsn,https://github.com/SamWilsn,203,Sam Wilson,,,Correct,Sam Wilson,"","","",""
166,michaelsproul,Michael Sproul,michaelsproul,https://github.com/michaelsproul,261,Michael Sproul,,,Correct,Michael Sproul,"","","",""
167,erikmarks,Erik Marks,rekmarks,https://github.com/rekmarks,312,Erik Marks,,,Correct,Erik Marks,"","",Erik Marks,""
168,zhenyusun,Zhenyu Sun,Ungigdu,https://github.com/Ungigdu,12,Zhenyu Sun,,,Correct,Zhenyu Sun,"","","",""
169,bentinner,Ben Tinner,Terra854,https://github.com/Terra854,3,Ben Tinner,,,Correct,Ben Tinner,"","","",""
170,albertocuestacanada,Alberto Cuesta Cañada,alcueca,https://github.com/alcueca,374,Alberto Cuesta Cañada,,,Correct,Alberto Cuesta Caria,"","","",""
